Date,LP_Total_Value,FD_Benchmark,LP_Value_No_Fees
2015-01-01,1000250.0,1000000.0,1000000.0
2015-01-02,1002074.9157141211,1000067.6069740653,1001574.9157141211
2015-01-05,1010199.3577451528,1000135.2185188337,1009449.3577451528
2015-01-06,1017178.4375612722,1000202.834634614,1016178.4375612722
2015-01-07,1021437.2394483583,1000270.4553217152,1020187.2394483583
2015-01-08,1021171.8708270093,1000338.0805804465,1019671.8708270093
2015-01-09,1019818.2818023879,1000405.7104111168,1018068.2818023879
2015-01-12,1016775.356900792,1000473.3448140355,1014775.356900792
2015-01-13,1025272.0740798189,1000540.9837895114,1023022.0740798189
2015-01-14,1026667.4362947311,1000608.6273378538,1024167.4362947311
2015-01-15,1026230.2326197411,1000676.2754593719,1023480.2326197411
2015-01-16,1023359.0745019993,1000743.9281543746,1020359.0745019993
2015-01-19,1021031.9583161066,1000811.5854231714,1017781.9583161066
2015-01-20,1025863.4754455424,1000879.2472660715,1022363.4754455424
2015-01-21,1040831.5539951207,1000946.913683384,1037081.5539951207
2015-01-22,1040108.0268338494,1001014.5846754181,1036108.0268338494
2015-01-23,1032741.2349785988,1001082.2602424833,1028491.2349785988
2015-01-26,1034852.4741790013,1001149.9403848889,1030352.4741790013
2015-01-27,1035131.1474895015,1001217.6251029441,1030381.1474895015
2015-01-28,1039046.3475390926,1001285.3143969582,1034046.3475390926
2015-01-29,1044822.7867890863,1001353.0082672406,1039572.7867890863
2015-01-30,1042610.2273056209,1001420.7067141008,1037110.2273056209
2015-02-02,1046468.1490039985,1001488.4097378482,1040718.1490039985
2015-02-03,1042337.071968917,1001556.1173387921,1036337.071968917
2015-02-04,1028355.7569999744,1001623.8295172419,1022105.7569999744
2015-02-05,1033616.759358832,1001691.5462735074,1027116.759358832
2015-02-06,1019950.4411866709,1001759.2676078979,1013200.4411866709
2015-02-09,1027215.9127588586,1001826.9935207227,1020215.9127588586
2015-02-10,1025031.9583161066,1001894.7240122918,1017781.9583161066
2015-02-11,1033328.2354007792,1001962.4590829144,1025828.2354007792
2015-02-12,1043056.2664564322,1002030.1987328999,1035306.2664564322
2015-02-13,1035145.4326693324,1002097.9429625585,1027145.4326693324
2015-02-16,1026518.7218967422,1002165.6917721992,1018268.7218967422
2015-02-17,1034156.4003471383,1002233.445162132,1025656.4003471383
2015-02-18,1034377.7953064248,1002301.2031326665,1025627.7953064248
2015-02-19,1044449.4281995728,1002368.9656841124,1035449.4281995728
2015-02-20,1048965.948532227,1002436.7328167794,1039715.948532227
2015-02-23,1053396.585472954,1002504.5045309771,1043896.585472954
2015-02-24,1050009.9904640762,1002572.2808270154,1040259.9904640762
2015-02-25,1044962.5963491503,1002640.0617052038,1034962.5963491503
2015-02-26,1040115.7105983656,1002707.8471658526,1029865.7105983656
2015-02-27,1038361.3096548226,1002775.6372092711,1027861.3096548226
2015-03-02,1049807.3498979504,1002843.4318357691,1039057.3498979504
2015-03-03,1051116.8287209356,1002911.231045657,1040116.8287209355
2015-03-04,1048932.8742781836,1002979.034839244,1037682.8742781836
2015-03-05,1056398.7859447254,1003046.8432168406,1044898.7859447255
2015-03-06,1059741.270751967,1003114.6561787563,1047991.2707519672
2015-03-09,1067779.8293910718,1003182.4737253012,1055779.8293910718
2015-03-10,1066598.1436898783,1003250.295856785,1054348.1436898783
2015-03-11,1076669.7083132393,1003318.1225735182,1064169.7083132393
2015-03-12,1070562.9036451152,1003385.9538758103,1057812.9036451152
2015-03-13,1070612.4635507609,1003453.7897639715,1057612.4635507609
2015-03-16,1072981.4211967313,1003521.6302383118,1059731.4211967313
2015-03-17,1071799.6672257509,1003589.4752991415,1058299.6672257509
2015-03-18,1071877.9004418966,1003657.3249467704,1058127.9004418966
2015-03-19,1060359.1449564192,1003725.1791815085,1046359.1449564194
2015-03-20,1076930.7442608322,1003793.0380036661,1062680.7442608322
2015-03-23,1077581.6244495409,1003860.9014135535,1063081.6244495409
2015-03-24,1061681.791928982,1003928.7694114806,1046931.791928982
2015-03-25,1061187.3099027784,1003996.6419977577,1046187.3099027784
2015-03-26,1069483.586987451,1004064.5191726949,1054233.586987451
2015-03-27,1065839.3418027922,1004132.4009366026,1050339.3418027922
2015-03-30,1073419.7419019744,1004200.287289791,1057669.7419019744
2015-03-31,1079797.501435031,1004268.1782325702,1063797.501435031
2015-04-01,1072631.1496741348,1004336.0737652507,1056381.1496741348
2015-04-02,1069989.1049612474,1004403.9738881425,1053489.1049612474
2015-04-03,1063968.1836850503,1004471.8786015565,1047218.1836850502
2015-04-06,1058090.355882207,1004539.7879058025,1041090.3558822068
2015-04-07,1058225.8674495663,1004607.701801191,1040975.8674495664
2015-04-08,1057616.8287209356,1004675.6202880325,1040116.8287209355
2015-04-09,1056463.7480604555,1004743.5433666374,1038713.7480604554
2015-04-10,1059061.7508414935,1004811.4710373161,1041061.7508414935
2015-04-13,1069448.3122616361,1004879.4033003792,1051198.3122616361
2015-04-14,1077257.825765673,1004947.3401561369,1058757.825765673
2015-04-15,1076677.4603475423,1005015.2816049,1057927.4603475423
2015-04-16,1070083.8238289957,1005083.2276469788,1051083.8238289957
2015-04-17,1059767.7089096443,1005151.1782826838,1040517.7089096442
2015-04-20,1058127.7963987414,1005219.1335123257,1038627.7963987414
2015-04-21,1060181.8255177173,1005287.093336215,1040431.8255177172
2015-04-22,1059687.2752217266,1005355.0577546626,1039687.2752217266
2015-04-23,1055012.1562547958,1005423.0267679787,1034762.156254796
2015-04-24,1051826.0696100593,1005491.0003764741,1031326.0696100594
2015-04-27,1040965.9127588586,1005558.9785804595,1020215.9127588586
2015-04-28,1036806.162413277,1005626.9613802455,1015806.162413277
2015-04-29,1034679.5545915256,1005694.948776143,1013429.5545915256
2015-04-30,1034213.6776060353,1005762.9407684625,1012713.6776060353
2015-05-01,1043798.4786487607,1005830.9373575152,1022048.4786487607
2015-05-04,1052037.4773822196,1005898.9385436112,1030037.4773822196
2015-05-05,1051542.995356016,1005966.9443270615,1029292.9953560161
2015-05-06,1047955.960252784,1006034.9547081772,1025455.960252784
2015-05-07,1044798.4786487607,1006102.9696872692,1022048.4786487607
2015-05-08,1054125.6295157052,1006170.989264648,1031125.629515705
2015-05-11,1050710.429466114,1006239.0134406245,1027460.4294661139
2015-05-12,1058033.1111197283,1006307.0422155096,1034533.1111197283
2015-05-13,1052069.4681947448,1006375.0755896146,1028319.4681947448
2015-05-14,1049627.7953064248,1006443.1135632499,1025627.7953064248
2015-05-15,1042776.4403423102,1006511.1561367268,1018526.4403423102
2015-05-18,1043971.430732655,1006579.2033103565,1019471.430732655
2015-05-19,1046884.4303104747,1006647.2550844494,1022134.4303104747
2015-05-20,1057156.43502819,1006715.3114593168,1032156.43502819
2015-05-21,1057034.2281499817,1006783.3724352698,1031784.2281499817
2015-05-22,1055537.4773822196,1006851.4380126195,1030037.4773822196
2015-05-25,1057190.5580427,1006919.5081916768,1031440.5580426998
2015-05-26,1060533.1111197283,1006987.5829727531,1034533.1111197283
2015-05-27,1067025.4273552122,1007055.6623561593,1040775.4273552122
2015-05-28,1069422.9900418958,1007123.7463422067,1042922.9900418959
2015-05-29,1070217.0319737452,1007191.8349312061,1043467.0319737451
2015-06-01,1072127.8310797932,1007259.9281234693,1045127.8310797933
2015-06-02,1080824.9883531744,1007328.0259193069,1053574.9883531744
2015-06-03,1079442.8625576266,1007396.1283190307,1051942.8625576266
2015-06-04,1082899.9040672956,1007464.2353229515,1055149.9040672956
2015-06-05,1090165.3073696962,1007532.3469313806,1062165.3073696962
2015-06-08,1101496.8591801836,1007600.4631446296,1073246.8591801836
2015-06-09,1098511.1443600145,1007668.5839630098,1070011.1443600145
2015-06-10,1098990.2577648691,1007736.7093868321,1070240.2577648691
2015-06-11,1093026.5465700987,1007804.8394164086,1064026.5465700987
2015-06-12,1098946.1475632328,1007872.9740520498,1069696.1475632328
2015-06-15,1103519.9462471006,1007941.1132940679,1074019.9462471006
2015-06-16,1103254.5776257517,1008009.2571427737,1073504.5776257517
2015-06-17,1100240.2577648691,1008077.4055984789,1070240.2577648691
2015-06-18,1097483.5880797675,1008145.5586614951,1067233.5880797675
2015-06-19,1087138.8681197027,1008213.7163321336,1056638.8681197027
2015-06-22,1098269.9798358358,1008281.8786107062,1067519.9798358358
2015-06-23,1096086.025393084,1008350.0454975239,1065086.025393084
2015-06-24,1100488.0572930975,1008418.2169928988,1069238.0572930975
2015-06-25,1109013.3795128379,1008486.393097142,1077513.3795128379
2015-06-26,1106858.0983805861,1008554.5738105654,1075108.0983805861
2015-06-29,1114953.9353709044,1008622.7591334804,1082953.9353709044
2015-06-30,1110994.625119677,1008690.949066199,1078744.625119677
2015-07-01,1102425.2609680875,1008759.1436090324,1069925.2609680875
2015-07-02,1111494.625119677,1008827.3427622927,1078744.625119677
2015-07-03,1107392.2213950958,1008895.5465262912,1074392.2213950958
2015-07-06,1121873.5363640385,1008963.7549013399,1088623.5363640385
2015-07-07,1126676.380182974,1009031.9678877504,1093176.380182974
2015-07-08,1124320.658956368,1009100.1854858346,1090570.658956368
2015-07-09,1121478.1741491263,1009168.407695904,1087478.1741491263
2015-07-10,1117776.582343467,1009236.6345182706,1083526.582343467
2015-07-13,1120145.5399894374,1009304.8659532464,1085645.5399894374
2015-07-14,1124748.0119838053,1009373.1020011429,1089998.0119838053
2015-07-15,1121705.0188124226,1009441.3426622722,1086705.0188124226
2015-07-16,1123673.0962696844,1009509.587936946,1088423.0962696844
2015-07-17,1117480.3399398462,1009577.8378254765,1081980.3399398462
2015-07-20,1124602.5814991063,1009646.0923281753,1088852.5814991063
2015-07-21,1125711.6202277371,1009714.3514453546,1089711.6202277371
2015-07-22,1119232.5404116176,1009782.6151773261,1082982.5404116176
2015-07-23,1126469.338673305,1009850.883524402,1089969.338673305
2015-07-24,1128093.8142930719,1009919.1564868944,1091343.8142930719
2015-07-27,1128572.8594281396,1009987.4340651152,1091572.8594281396
2015-07-28,1130397.7751422606,1010055.7162593764,1093147.7751422606
2015-07-29,1124634.5723116314,1010124.0030699901,1087134.5723116314
2015-07-30,1127604.781970878,1010192.2944972683,1089854.781970878
2015-07-31,1132006.8138708915,1010260.5905415236,1094006.8138708915
2015-08-03,1129393.3741987175,1010328.8912030675,1091143.3741987175
2015-08-04,1142042.0550079711,1010397.1964822127,1103542.0550079711
2015-08-05,1149364.7366615855,1010465.5063792709,1110614.7366615855
2015-08-06,1149042.0896890229,1010533.8208945547,1110042.0896890229
2015-08-07,1164353.7700760963,1010602.140028376,1125103.7700760963
2015-08-10,1164861.4885216642,1010670.4637810473,1125361.4885216642
2015-08-11,1161532.1718640001,1010738.7921528808,1121782.1718640001
2015-08-12,1180967.2791103737,1010807.1251441888,1140967.2791103737
2015-08-13,1179499.201653112,1010875.4627552833,1139249.201653112
2015-08-14,1195068.6687555402,1010943.8049864771,1154568.6687555402
2015-08-17,1207201.844403871,1011012.1518380826,1166451.844403871
2015-08-18,1213751.5072603554,1011080.5033104116,1172751.5072603554
2015-08-19,1208990.5049014976,1011148.8594037769,1167740.5049014976
2015-08-20,1208810.9514022889,1011217.2201184907,1167310.9514022889
