Date,LP_Total_Value,FD_Benchmark,LP_Value_No_Fees
2015-01-01,1000250.0,1000000.0,1000000.0
2015-01-02,1000500.0,1000067.6069740653,1000000.0
2015-01-05,1008454.5273597884,1000135.2185188337,1007704.5273597884
2015-01-06,1008787.6379992289,1000202.834634614,1007787.6379992289
2015-01-07,1008705.2854854967,1000270.4553217152,1007455.2854854967
2015-01-08,1011734.9446832512,1000338.0805804465,1010234.9446832512
2015-01-09,1012068.0553226917,1000405.7104111168,1010318.0553226917
2015-01-12,1007506.4625500577,1000473.3448140355,1005506.4625500577
2015-01-13,1010724.9440781553,1000540.9837895114,1008474.9440781553
2015-01-14,1009464.2753913809,1000608.6273378538,1006964.2753913809
2015-01-15,1010439.3999627938,1000676.2754593719,1007689.3999627938
2015-01-16,1003045.292146954,1000743.9281543746,1000045.292146954
2015-01-19,1005425.3737142388,1000811.5854231714,1002175.3737142388
2015-01-20,1010600.2418762726,1000879.2472660715,1007100.2418762726
2015-01-21,1014574.1027697724,1000946.913683384,1010824.1027697724
2015-01-22,1012686.4575039903,1001014.5846754181,1008686.4575039903
2015-01-23,1016486.6234641415,1001082.2602424833,1012236.6234641415
2015-01-26,1021948.4619489238,1001149.9403848889,1017448.4619489238
2015-01-27,1019577.4603315529,1001217.6251029441,1014827.4603315529
2015-01-28,1016639.901679123,1001285.3143969582,1011639.901679123
2015-01-29,1027623.3301109576,1001353.0082672406,1022373.3301109576
2015-01-30,1027261.4809289447,1001420.7067141008,1021761.4809289447
2015-02-02,1027201.8195107044,1001488.4097378482,1021451.8195107044
2015-02-03,1027194.9238938856,1001556.1173387921,1021194.9238938856
2015-02-04,1022996.0284730027,1001623.8295172419,1016746.0284730027
2015-02-05,1024907.7910416635,1001691.5462735074,1018407.7910416635
2015-02-06,1022332.7496529253,1001759.2676078979,1015582.7496529253
2015-02-09,1029086.2697441796,1001826.9935207227,1022086.2697441796
2015-02-10,1030053.8306170951,1001894.7240122918,1022803.8306170951
2015-02-11,1030779.7133142164,1001962.4590829144,1023279.7133142164
2015-02-12,1034934.8328395619,1002030.1987328999,1027184.8328395619
2015-02-13,1031853.7440037429,1002097.9429625585,1023853.7440037429
2015-02-16,1031507.0222187245,1002165.6917721992,1023257.0222187245
2015-02-17,1033615.1708162257,1002233.445162132,1025115.1708162257
2015-02-18,1032989.0424069562,1002301.2031326665,1024239.0424069562
2015-02-19,1033888.6200374259,1002368.9656841124,1024888.6200374259
2015-02-20,1035475.5937908519,1002436.7328167794,1026225.5937908519
2015-02-23,1036881.2188684023,1002504.5045309771,1027381.2188684023
2015-02-24,1036610.044024327,1002572.2808270154,1026860.044024327
2015-02-25,1035228.5362496553,1002640.0617052038,1025228.5362496553
2015-02-26,1032638.3674639225,1002707.8471658526,1022388.3674639225
2015-02-27,1035418.7847873854,1002775.6372092711,1024918.7847873854
2015-03-02,1041424.5792557645,1002843.4318357691,1030674.5792557645
2015-03-03,1042573.3987605259,1002911.231045657,1031573.3987605259
2015-03-04,1039998.4474158174,1002979.034839244,1028748.4474158174
2015-03-05,1043904.2350228415,1003046.8432168406,1032404.2350228415
2015-03-06,1047175.6624404201,1003114.6561787563,1035425.6624404201
2015-03-09,1053317.3333496614,1003182.4737253012,1041317.3333496613
2015-03-10,1055349.9350062194,1003250.295856785,1043099.9350062193
2015-03-11,1061431.186371512,1003318.1225735182,1048931.186371512
2015-03-12,1060903.2059546476,1003385.9538758103,1048153.2059546477
2015-03-13,1055790.273587979,1003453.7897639715,1042790.273587979
2015-03-16,1064311.2679387967,1003521.6302383118,1051061.2679387967
2015-03-17,1062506.733312455,1003589.4752991415,1049006.733312455
2015-03-18,1062605.6394305688,1003657.3249467704,1048855.6394305688
2015-03-19,1054622.3735282077,1003725.1791815085,1040622.3735282078
2015-03-20,1061398.5847149538,1003793.0380036661,1047148.5847149539
2015-03-23,1055235.7389616375,1003860.9014135535,1040735.7389616375
2015-03-24,1047902.0506897463,1003928.7694114806,1033152.0506897463
2015-03-25,1047887.68141846,1003996.6419977577,1032887.68141846
2015-03-26,1050146.9238978475,1004064.5191726949,1034896.9238978475
2015-03-27,1050094.7361340749,1004132.4009366026,1034594.7361340749
2015-03-30,1050374.990928064,1004200.287289791,1034624.990928064
2015-03-31,1055217.5065763658,1004268.1782325702,1039217.5065763657
2015-04-01,1053382.717156035,1004336.0737652507,1037132.717156035
2015-04-02,1046003.7367371897,1004403.9738881425,1029503.7367371897
2015-04-03,1041782.150220815,1004471.8786015565,1025032.150220815
2015-04-06,1035521.0664310635,1004539.7879058025,1018521.0664310635
2015-04-07,1041708.0294872586,1004607.701801191,1024458.0294872586
2015-04-08,1044745.2523835105,1004675.6202880325,1027245.2523835105
2015-04-09,1042041.8982524074,1004743.5433666374,1024291.8982524074
2015-04-10,1044520.1278120975,1004811.4710373161,1026520.1278120975
2015-04-13,1051334.0674473005,1004879.4033003792,1033084.0674473004
2015-04-14,1054801.8808937194,1004947.3401561369,1036301.8808937194
2015-04-15,1046093.4904199456,1005015.2816049,1027343.4904199456
2015-04-16,1043541.1401266991,1005083.2276469788,1024541.1401266991
