daily_volume_usd,median_outcome,percentile_25,percentile_75
1000.0,-240924.94309169764,-332349.1112342854,-113453.82950095
1623.776739188721,-240064.44307998684,-331488.6112225746,-112593.32948923908
2636.650898730358,-238667.1831768991,-330091.35131948686,-111196.06958615157
4281.332398719395,-236398.34504766425,-327822.513190252,-108927.2314569166
6951.927961775606,-232714.25846842816,-324138.4266110159,-105243.14487768064
11288.378916846883,-226732.12437590735,-318156.2925184951,-99261.01078515971
18329.807108324374,-217018.4741857642,-308442.64232835197,-89547.36059501657
29763.51441631319,-201245.67495439365,-292669.8430969814,-73774.56136364589
48329.30238571752,-175634.17045060033,-267058.3385931881,-48163.05685985257
78475.99703514607,-134046.80518171354,-225470.9733243014,-6575.6915909660165
127427.49857031321,-66518.20881395065,-157942.37695653827,60952.904776797106
206913.808111479,43133.15519808768,-48291.01294450002,170604.26878883527
335981.8286283781,221182.48950114986,129758.32135856216,348653.6030918976
545559.4781168514,510294.8569704988,418870.6888279111,637765.9705612466
885866.7904100833,979748.7942790124,888324.6261364246,1107219.9078697597
1438449.888287663,1742037.1778011336,1650613.0096585457,1869508.291391881
2335721.4690901213,2979823.323518125,2888399.1553755375,3107294.437108872
3792690.190732246,4989711.675023435,4898287.506880847,5117182.788614182
6158482.110660254,8253321.628564123,8161897.460421535,8380792.74215487
10000000.0,13552695.556908302,13461271.388765715,13680166.67049905
