,daily_volume_usd,final_net_gain_loss_usd
0,1000.0,-231339.11253772653
1,1623.776739188721,-230478.61252601573
2,2636.650898730358,-229081.35262292798
3,4281.332398719395,-226812.51449369313
4,6951.927961775606,-223128.42791445705
5,11288.378916846883,-217146.29382193624
6,18329.807108324374,-207432.6436317931
7,29763.51441631319,-191659.84440042253
8,48329.30238571752,-166048.33989662922
9,78475.99703514607,-124460.97462774254
10,127427.49857031321,-56932.37825997942
11,206913.808111479,52718.985752058914
12,335981.8286283781,230768.3200551211
13,545559.4781168514,519880.68752447003
14,885866.7904100833,989334.6248329834
15,1438449.888287663,1751623.0083551046
16,2335721.4690901213,2989409.1540720956
17,3792690.190732246,4999297.505577406
18,6158482.110660254,8262907.459118094
19,10000000.0,13562281.387462273
