Date,LP_Value,FD_Value
2015-08-03,1000100.0,1000000.0
2015-08-04,1003725.6529656741,1000067.6532817782
2015-08-05,1006710.2781194074,1000135.3111405232
2015-08-06,1007881.0602853572,1000202.9735765443
2015-08-07,1008439.9917383655,1000270.6405901512
2015-08-10,1009348.5273597391,1000338.3121816536
2015-08-11,1007671.1557457045,1000405.9883513612
2015-08-12,1021626.0227767202,1000473.6690995839
2015-08-13,1020436.7597146931,1000541.3544266312
2015-08-14,1018613.6762788709,1000609.0443328132
2015-08-17,1025874.2226582577,1000676.7388184394
2015-08-18,1026185.4092795852,1000744.4378838197
2015-08-19,1024070.9890367918,1000812.1415292642
2015-08-20,1022175.0496900758,1000879.8497550822
2015-08-21,1023535.2224897079,1000947.5625615838
2015-08-24,1031786.4876860051,1001015.2799490793
2015-08-25,1029067.4241684157,1001083.001917878
2015-08-26,1024345.1270293605,1001150.7284682901
2015-08-27,1024700.0792991869,1001218.4596006259
2015-08-28,1021740.6520612708,1001286.1953151948
2015-08-31,1028469.4979133598,1001353.9356123074
2015-09-01,1029465.4779951269,1001421.6804922731
2015-09-02,1031503.0631438445,1001489.4299554025
2015-09-03,1033701.0355004537,1001557.1840020053
2015-09-04,1033910.2759484923,1001624.9426323916
2015-09-07,1039393.4507138446,1001692.7058468716
2015-09-08,1042064.7693997532,1001760.4736457557
2015-09-09,1034523.4955797129,1001828.2460293537
2015-09-10,1037923.2865379556,1001896.0229979758
2015-09-11,1032086.5284210561,1001963.8045519321
2015-09-14,1031552.7948838652,1002031.5906915334
2015-09-15,1026794.1132076652,1002099.3814170891
2015-09-16,1024934.6452346981,1002167.17672891
2015-09-17,1020795.1085461894,1002234.9766273062
2015-09-18,1020290.4652713934,1002302.7811125882
2015-09-21,1023646.6642543458,1002370.5901850659
2015-09-22,1030098.5881757548,1002438.40384505
2015-09-23,1036397.5928372305,1002506.222092851
2015-09-24,1042754.8648601006,1002574.0449287785
2015-09-25,1041674.8422461121,1002641.8723531439
2015-09-28,1042488.7259689467,1002709.704366257
2015-09-29,1047308.9900981088,1002777.5409684282
2015-09-30,1044109.1123032619,1002845.3821599684
2015-10-01,1041251.7180752389,1002913.2279411877
2015-10-02,1046734.8928405911,1002981.0783123969
2015-10-05,1047505.0109149269,1003048.9332739064
2015-10-06,1039388.2709190899,1003116.7928260266
2015-10-07,1039910.7309983491,1003184.6569690681
2015-10-08,1033279.9389729713,1003252.5257033418
2015-10-09,1027195.5228609951,1003320.3990291579
2015-10-12,1023784.4584448206,1003388.2769468274
2015-10-13,1025894.8995044321,1003456.1594566609
2015-10-14,1019832.3662167054,1003524.0465589687
2015-10-15,1009413.6746810774,1003591.9382540619
2015-10-16,1011028.8865871399,1003659.8345422512
2015-10-19,1013241.3606566445,1003727.735423847
2015-10-20,1017493.4528847598,1003795.6408991604
2015-10-21,1019028.4277685746,1003863.5509685018
2015-10-22,1020687.3184865317,1003931.4656321827
2015-10-23,1021661.4157440495,1003999.3848905131
2015-10-26,1023509.6970956889,1004067.3087438046
2015-10-27,1020025.7767686206,1004135.2371923673
2015-10-28,1023709.6970956889,1004203.1702365127
2015-10-29,1027816.0775020166,1004271.1078765513
2015-10-30,1028265.7685069861,1004339.0501127945
2015-11-02,1026479.0696083087,1004406.9969455526
2015-11-03,1025347.9870710716,1004474.9483751372
2015-11-04,1023481.2248233547,1004542.9044018588
2015-11-05,1029000.7841258519,1004610.8650260288
2015-11-06,1031475.5047399326,1004678.8302479578
2015-11-09,1042312.677171638,1004746.8000679574
2015-11-10,1043104.7649068274,1004814.7744863383
2015-11-11,1042403.4367235993,1004882.7535034118
2015-11-12,1040747.9479338141,1004950.7371194885
2015-11-13,1040243.3046590182,1005018.7253348803
2015-11-16,1045551.6773401878,1005086.7181498979
2015-11-17,1043757.6841667606,1005154.7155648526
2015-11-18,1045205.3014267861,1005222.7175800555
2015-11-19,1042427.9705478026,1005290.724195818
2015-11-20,1037377.9520646314,1005358.7354124511
2015-11-23,1037317.6516933441,1005426.7512302664
2015-11-24,1040761.2083000857,1005494.7716495747
2015-11-25,1035106.5465421187,1005562.7966706877
2015-11-26,1031491.5029427622,1005630.8262939167
2015-11-27,1034017.1966434873,1005698.8605195729
2015-11-30,1038101.7810621697,1005766.8993479678
2015-12-01,1036162.1629035589,1005834.9427794128
2015-12-02,1033100.7026557499,1005902.9908142192
2015-12-03,1037418.3565200091,1005971.0434526983
2015-12-04,1025666.6362738552,1006039.1006951618
2015-12-07,1027565.8907121391,1006107.1625419214
2015-12-08,1034054.2860072972,1006175.2289932879
2015-12-09,1034846.3737424866,1006243.3000495734
2015-12-10,1032287.5237595803,1006311.3757110893
2015-12-11,1031542.5167644577,1006379.455978147
2015-12-14,1038810.3574185943,1006447.5408510581
2015-12-15,1035778.0742697845,1006515.6303301344
2015-12-16,1033612.6809403466,1006583.7244156875
2015-12-17,1037442.2262525985,1006651.8231080289
2015-12-18,1042779.6891961631,1006719.9264074703
2015-12-21,1038771.3626165466,1006788.0343143234
