Date,LP_Value,FD_Value
2015-08-03,1000100.0,1000000.0
2015-08-04,1011563.0170905438,1000067.6532817782
2015-08-05,1018144.916555688,1000135.3111405232
2015-08-06,1017720.102872992,1000202.9735765443
2015-08-07,1031623.6787762356,1000270.6405901512
2015-08-10,1031959.8699603293,1000338.3121816536
2015-08-11,1028779.5341746744,1000405.9883513612
2015-08-12,1046462.1064562156,1000473.6690995839
2015-08-13,1044987.5402737252,1000541.3544266312
2015-08-14,1059127.3699282636,1000609.0443328132
2015-08-17,1070117.942083419,1000676.7388184394
2015-08-18,1075991.3931306845,1000744.4378838197
2015-08-19,1071498.9605710884,1000812.1415292642
2015-08-20,1071205.2877418653,1000879.8497550822
2015-08-21,1076684.9408255054,1000947.5625615838
2015-08-24,1108144.8733530357,1001015.2799490793
2015-08-25,1115067.9517656933,1001083.001917878
2015-08-26,1117792.270447978,1001150.7284682901
2015-08-27,1108182.4665116877,1001218.4596006259
2015-08-28,1098047.8488927013,1001286.1953151948
2015-08-31,1099984.8219165397,1001353.9356123074
2015-09-01,1096673.282710211,1001421.6804922731
2015-09-02,1101365.715269807,1001489.4299554025
2015-09-03,1106845.4934878494,1001557.1840020053
2015-09-04,1111800.3328887934,1001624.9426323916
2015-09-07,1130663.8610908028,1001692.7058468716
2015-09-08,1141260.8855511372,1001760.4736457557
2015-09-09,1131651.0816148468,1001828.2460293537
2015-09-10,1149333.591329187,1001896.0229979758
2015-09-11,1128964.356091214,1001963.8045519321
2015-09-14,1125915.3488606357,1002031.5906915334
2015-09-15,1128114.728725822,1002099.3814170891
2015-09-16,1118767.3316308798,1002167.17672891
2015-09-17,1108370.3071705454,1002234.9766273062
2015-09-18,1110569.6870357317,1002302.7811125882
2015-09-21,1117624.0314362645,1002370.5901850659
2015-09-22,1123208.6722833242,1002438.40384505
2015-09-23,1135931.3548333007,1002506.222092851
2015-09-24,1159361.0373704508,1002574.0449287785
2015-09-25,1152532.9711943734,1002641.8723531439
2015-09-28,1156831.8560591484,1002709.704366257
2015-09-29,1166641.5348610366,1002777.5409684282
2015-09-30,1169497.1195311965,1002845.3821599684
2015-10-01,1157656.6697418445,1002913.2279411877
2015-10-02,1166941.5348610366,1002981.0783123969
2015-10-05,1156282.103559354,1003048.9332739064
2015-10-06,1143785.6992338332,1003116.7928260266
